Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
1394,Country,Northern Mariana Islands,mp161985,1985-11-03,Status of the Attorney General,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article IIII section 11:  Attorney General. The governor shall appoint an Attorney General with the advice and consent of the Senate. The Attorney General shall be a resident and a domiciliary of the Commonwealth of the Northern Mariana Islands for at least three years immediately preceding the date on which the Attorney General is confirmed. The Attorney General shall be responsible for providing legal advice to the governor and executive departments  representing the Commonwealth in all legal matters  and prosecuting violations of Commonwealth law. ,"State organisation | Institutions | Courts",0,0,0,0,yes,
1395,Country,Northern Mariana Islands,mp171985,1985-11-03,Public Auditor,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 12:  Public Auditor. The governor shall appoint a public auditor with the advice and consent of each house of the legislature. The public auditor shall audit the receipt  possession and disbursement of public funds by the executive  legislative and judicial branches of the government  and instrumentality of the Commonwealth or an agency of local government and shall perform other duties provided by law. The Public Auditor shall be guaranteed an annual budget of at least $500 000. The budgetary appropriation may not be reprogrammed for other purposes  and any unencumbered fund balance in a fiscal year shall be available for general appropriation. The public auditor shall report to the legislature and the governor at least once every year and this report shall be made public promptly. The public auditor may be removed only for cause and by the affirmative vote of 2/3 of the members of each house of the legislature. In the event that there is a vacancy in the office of public auditor  the governor shall appoint a temporary public auditor to serve until the vacancy is filled. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1396,Country,Northern Mariana Islands,mp181985,1985-11-03,Annual salary of the Executive Assistant for Carolinian Affairs,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 18(g):  The annual salary of the Executive Assistant for Carolinian Affairs may not be less than the annual salary of a head of an executive department. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1397,Country,Northern Mariana Islands,mp191985,1985-11-03,Retirement system,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 20:  Retirement System. (a) Membership in an employee retirement system of the Commonwealth shall constitute a contractual relationship. Accrued benefits of this system shall be neither diminished nor impaired. (b) An employee who has acquired not less than 20 years of creditable service under the Commonwealth retirement system shall be credited an additional five years and shall be eligible to retire. An employee who elects to retire under this provision may not be reemployed by the Commonwealth Government  or any of its instrumentalities or agencies  for more than 60 calendar days in any fiscal year without losing his or her retirement benefits for the remainder of that fiscal year. ,"Social Policy | Social security | Pension insurance",0,0,0,0,yes,
1398,Country,Northern Mariana Islands,mp101985,1985-11-03,Joint legislative bureau for Senate and House of Representatives,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article II section 17:  Legislative Bureau. There is hereby established a legislative bureau in the Northern Marianas Commonwealth Legislature. (a) The bureau shall be headed by a director to be appointed by the joint leadership of the legislature consisting of the presiding officers  vice presiding officers  floor leaders  and the chairmen of the standing committees. (b) The director shall employ all necessary staff  other than personal staff of the members of the legislature  pursuant to budgetary allocations. The staff members shall include legal counsel and other administrative staff. (c) The bureau shall provide all required services to the legislature in connection with duties and responsibilities during sessions and committee meetings. It shall maintain all records  files  library and other documents of the legislature. (d) The director may be removed by a rnajority of the members of each House of the legislature with or without cause. (e) The bureau shall be free from any political harassment or pressure. ,"State organisation | Institutions | none",0,0,0,0,yes,
1399,Country,Northern Mariana Islands,mp111985,1985-11-03,Qualifications of the governor,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 2:  Qualifications of the Governor. The governor shall be qualified to vote in the Commonwealth  at least 35 years of age  and a resident and domiciliary of the Commonwealth for at least ten years immediately preceding the date on which the governor takes office. A different period of residence and domicile may be provided by law. No person convicted of a felony in the Commonwealth or in any area under the jurisdiction of the United States may be eligible for this office unless a full pardon has been granted. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1400,Country,Northern Mariana Islands,mp121985,1985-11-03,Joint election of the governor and Lieutenant Governor,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 4:  Joint Election of the Governor and Lieutenant Governor. The governor and lieutenant governor shall be elected at large within the Commonwealth for a term of office of four years. The governor and lieutenant governor shall be elected jointly with each voter casting a single vote applicable to both offices. No person may be elected governor more than twice. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1401,Country,Northern Mariana Islands,mp131985,1985-11-03,Succession to the governorship and lieutenant governorship,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article  III section 7:  Succession to the Governorship and Lieutenant Governorship. In case of the removal  death  or resignation of the governor  the lieutenant governor shall become governor and the president of the senate shall become lieutenant governor. If the offices of governor and lieutenant governor are both vacant  the president of the senate shall become acting governor and the speaker of the House shall become acting lieutenant governor. An acting governor or lieutenant governor who assumes office when more than one year remains in the term may serve only until a governor or lieutenant governor is chosen in a special election provided by law. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1402,Country,Northern Mariana Islands,mp141985,1985-11-03,Executive functions of the governor,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 9:  Executive Functions: (a) The governor shall submit to the legislature a proposed annual balanced budget for the following fiscal year. The proposed balanced budget shall describe anticipated revenues of the Commonwealth and recommend expenditures of Commonwealth funds. The anticipated revenues may not be increased by the legislature without the consent of the governor. In preparing the proposed balanced budget  the governor shall consider submissions made by the mayors of Rota  Saipan  Tinian and Aguiguan  and the islands north of Saipan as to the budgetary needs of those islands and by the executive assistant appointed under section 18 of this article. The governor's submission to the legislature with respect to the budget shall state the governor's disposition of the budgetary requests contained in these submissions and may include recommended legislation with respect to taxation. If a balanced budget is approved by the legislature  the governor may not reallocate appropriated funds except as provided by law. If a balanced budget is not approved before the first day of the fiscal year  appropriations for government operations and obligations shall be at the level for the previous fiscal year. (b) The governor shall report at least annually to the legislature regarding the affairs of the Commonwealth and new measures that are necessary or desirable. The report shall include a comprehensive annual financial report prepared in accordance with generally accepted governmental accounting principles. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1403,Country,Northern Mariana Islands,mp151985,1985-11-03,Emergency powers of the governor,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 10:  Emergency Powers. The governor may declare a state of emergency in the case of invasion  civil disturbance  natural disaster  or other calamity as provided by law  and may mobilise available resources to respond to that emergency. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1404,Country,Northern Mariana Islands,mp041985,1985-11-03,Residency obligation for election candidates,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Chapter II artcile 2(d):  A candidate for the senate shall be a registered voter in the senatorial district where he or she is a candidate.  Chapter II article 3(d):  A candidate for the House of Representatives shall be a registered voter of the election precinct where he or she is a candidate. ,"State organisation | Institutions | Parliament",0,0,0,0,yes,
1405,Country,Northern Mariana Islands,mp051985,1985-11-03,No facilitation for naturalisation,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article II section 5(d):  The legislature shall enact no law which increases the class of non-aliens  except as to those persons defined in Covenant Section 506(c). ,"State organisation | Legal system | Citizenship",0,0,0,0,yes,
1406,Country,Northern Mariana Islands,mp061985,1985-11-03,Changes to governor's right of veto,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Several amendments were made to article II section 7 to more precisely define the governor's right of veto.,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1407,Country,Northern Mariana Islands,mp071985,1985-11-03,Incompatibility between Member of Parliament (MP) status and government employment,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article II section 11:  Other Government Employment. A member of the legislature may not serve in any other Commonwealth government position including other elective office or an independent board  agency  authority or commission established by this Constitution or by Commonwealth law. A person  having been a member of the legislature  may not serve in any elective or appointive Commonwealth Government position created by statute during the term for which he or she was elected  for a period of one year following the expiration of the term during which the position was created.  Chapter II Article 14(a):  Each House of the legislature shall be the final judge of the election and qualifications of its members and the legislature may vest in the courts the jurisdiction to determine contested elections of members. Each house may compel the attendance of absent members  discipline its members and  by the affirmative vote of 3/4 of its members  expel a member for commission of treason  a felony  breach of the peace  or violation of the rules of that house. ,"State organisation | Political system | Institutions",0,0,0,0,yes,
1408,Country,Northern Mariana Islands,mp081985,1985-11-03,Periods of parliamentary sessions ,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article II section 13:  Sessions. The legislature shall meet for organisational purposes on the second Monday of January in the year following the regular general election at which members of the legislature are elected and shall be a continuous body for the two years between these organisational meetings. Each House shall meet in regular sessions for no more than 90 days each year  60 days before 1 April and 30 days after 31 July of each calendar year  and may be convened at other times for not more than ten consecutive days upon request by each presiding officer or by the governor. When meeting pursuant to a call by the governor  the legislature shall consider only those subjects described in the call. ,"State organisation | Institutions | Parliament",0,0,0,0,yes,
1409,Country,Northern Mariana Islands,mp091985,1985-11-03,Budget ceiling for the legislature,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article II section 16:  Budget Ceiling. There shall be a ceiling on the budget of the legislature. a) Appropriations  or obligations and expenditures  exclusive of the salaries of the members of the legislature  for the operations and activities of the legislature may not exceed US$2 800 000 in any fiscal year. This ceiling on the legislative budget shall be divided equally between the Senate and the House of Representatives. b) Obligations and expenditures for the operations and activities of the legislature for the period 1 October through the second Monday in January of a fiscal year in which there is a regular general election  may not exceed seven hundred thousand dollars or the spending authority otherwise available by law  whichever is less. This ceiling shall apply to the various offices and activities in the same proportions as the annual spending authority provided by law. ,"Public finance | Budget cuts and remediation measures | Parliament",0,0,0,0,yes,
1410,Country,Northern Mariana Islands,mp031985,1985-11-03,Prohibition of abortion,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Chapter I article 12:  Abortion. The abortion of the unborn child during the mother's pregnancy is prohibited in the Commonwealth of the Northern Mariana Islands  except as provided by law. ,"State organisation | Legal system | Criminal law",0,0,0,0,yes,
1411,Country,Northern Mariana Islands,mp371985,1985-11-03,Uninhabited islands to be used for cultural and recreational purposes only,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XIV section 2:  Uninhabited Islands. The island of Managaha shall be maintained as an uninhabited place and used only for cultural and recreational purposes. The islands of Maug  Uracas  Asuncion  Guguan and other islands specified by law shall be maintained as uninhabited places and used only for the preservation and protection of natural resources  including but not limited to bird  wildlife and plant species. ,"Environment and living space | Soil | Spatial planning",0,0,0,0,yes,
1412,Country,Northern Mariana Islands,mp381985,1985-11-03,Educational system,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,A new article XV was written to replace the article III section 13. This new article was composed of two sections  one on elementary and secondary education and one on higher and adult  education. Free elementary and secondary education was guaranteed and the mechanics of how schools carried out their duties was settled.,"Education and research | Education policy | none",0,0,0,0,yes,
1413,Country,Northern Mariana Islands,mp391985,1985-11-03,Constitutional amendment by constitutional conventions,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XVIII:   Section 2(a). The legislature  by the affirmative vote of a majority of the members of each house  may submit to the voters the question  shall there be a constitutional convention to propose amendments to the Constitution? The legislature  or the governor in the event the legislature fails to act  shall submit this question to the voters at a regular general election no later than ten years after the question was last submitted and as provided by law. An act of the legislature under this subsection may not be vetoed by the governor. Section 5(a). A proposed amendment to this Constitution shall be submitted to the voters for ratification at the next regular general election or at a special election established by law. ,"State organisation | Political system | Procedure for constitutional reform",0,0,0,0,yes,
1414,Country,Northern Mariana Islands,mp401985,1985-11-03,A Code of Ethics applying to appointed and elected officers and Commonwealth employees,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XIX section 1:  Code of Ethics. The legislature shall enact a comprehensive Code of Ethics which shall apply to appointed and elected officers and employees of the Commonwealth and its political subdivisions  including members of boards  commissions  and other instrumentalities. The Code of Ethics shall include a definition of proper conduct for members of the legislature with conflicts of interest and a definition of the proper scope of debate in the legislature  shall require disclosure of financial or personal interests sufficient to prevent conflicts of interest in the performance of official duties  shall define the offense or corrupt solicitation of public officials  and shall provide for punishment of offenses by fine and imprisonment. ,"State organisation | Institutions | none",0,0,0,0,yes,
1415,Country,Northern Mariana Islands,mp411985,1985-11-03,Independent personnel commission,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XX section 1:  Civil Service. The legislature shall provide for a non-partisan and independent civil service with the duty to establish and administer personnel policies for the Commonwealth Government. The Commission shall be composed of seven members appointed by the governor with the advice and consent of the senate. Six members shall serve a term of six years  staggered in such manner that the term of one member expires each year  and one member shall serve a term of four years expiring concurrently with the term of the governor. Members of the civil service commission may be removed only for cause. The commission's authority shall extend to positions other than those filled by election or by appointment of the governor in the departments and agencies of the executive branch and in the administrative staffs of the legislative and judicial branches. Exemption from the civil service shall be as provided by law  and the commission shall be the sole authority authorised by law to exempt positions from civil service classification. Appointment and promotion within the civil service shall be based on merit and fitness demonstrated by examination or by other evidence of competence. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1416,Country,Northern Mariana Islands,mp421985,1985-11-03,Prohibition of gambling except with special permission,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XX section 1:  ProhibItion. Gambling is prohibited in the Northern Mariana Islands except as provided by Commonwealth law or established through initiative in the Commonwealth or in any senatorial district. ,"Economy | Tourism and leisure | Lottery and gambling",0,0,0,0,yes,
1417,Country,Northern Mariana Islands,mp431985,1985-11-03,Official symbols and language,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XXII   Section 1. Official Seal. The official seal of the Commonwealth shall consist of a circular field of blue having in its center a white star superimposed on a gray latte stone  surrounded by the traditional Carolinian mwaar consisting of the following flowers: langilang  flores mayo (seyur) angagha  and teibwo  on the outer border  and the words encircling the mwaar  Commonwealth of the Northern Mariana Islands and Official Seal . Section 2. Official Flag. The official flag of the Commonwealth shall consist  on both sides of a rectangular field of blue  a white star in the center  superimposed on a gray latte stone  surrounded by the traditional Carolinian mwaar. The dimensions of the flag  the mwaar  the star and latte stone shall be provided by law. Section 3. Official Language. The official language of the Commonwealth shall be Chamorro  Carolinian and English  as deemed appropriate and as enforced by the legislature. The legislature may provide that government proceedings and documents shall be in at least one of the three languages. This section shall not be subject to judicial review. ,"State organisation | National identity | none",0,0,0,0,yes,
1418,Country,Northern Mariana Islands,mp441985,1985-11-03,New definition of citizenship,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,An alteration to the eighth transitional arrangement sought to redefine the definition of citizenship in favour of the North Marianas natives. A court decision cancelled the popular consultation. The interim definition of nationality continued for as long as the Trusteeship Agreement with USA remained in force.,"State organisation | Legal system | Citizenship",0,0,0,0,no,
1419,Country,Northern Mariana Islands,mp291985,1985-11-03,Levy of taxes on real estates only with a 3/4 majority of votes,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article X section 5:  Real Property Taxes. No tax may be levied upon any owner-occupied single family residential  agricultural  or unimproved real property  unless approved by 3/4 of the votes cast in an election conducted in the senatorial district in which the tax is to be levied. ,"Public finance | Taxation | Tax policy",0,0,0,0,yes,
1420,Country,Northern Mariana Islands,mp301985,1985-11-03,Plan for liquidation of deficits,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article X:  Section 6. Liquidation of Deficits. Before 1 October 1985 the legislature shall adopt a seven-year plan in which the government operations deficit through fiscal year 1985 shall be retired in equal shares. If the legislature fails to adopt or adhere to the plan  any person may bring an action to require the government to reallocate its expenditures in accordance with a deficit reduction plan. If an operating deficit is incurred in future fiscal years  the government shall retire the deficit during the second consecutive fiscal year following the year.  Section 7. Government Employment. In the annual appropriations acts  the legislature shall establish ceilings on the number of persons that may be employed by each branch  department  agency  authority and public corporation of the Commonwealth to which public funds are appropriated. Except upon specific approval by joint resolution of the legislature  no public funds may be expended for personnel in excess of the ceilings so established. ,"Economy | Economic policy | Short-term economic policy",0,0,0,0,yes,
1421,Country,Northern Mariana Islands,mp311985,1985-11-03,Control of public expenditure,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article X:  Section 8. Control of Public Finance. The Department of Finance or its successor department shall control and regulate the expenditure of public funds. The department shall promulgate regulations including accounting procedures that require public officials to provide full and reasonable documentation that public funds are expended for public purposes. Section 9. Taxpayer's Right of Action. A taxpayer may bring an action against the government or one of its instrumentalities in order to enjoin the expenditure of public funds for other than public purposes or for a breach of fiduciary duty. The court shall award costs and attorney fees to any person who prevails in such an action in a reasonable amount relative to the public benefit of the suit. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1422,Country,Northern Mariana Islands,mp321985,1985-11-03,Marianas Public Land Corporation,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XI section 4 and 5 created a Marianas Public Land Corporation charged with managing public land use. The tasks were then carried out by the government.,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1423,Country,Northern Mariana Islands,mp021985,1985-11-03,Protection for crime victims,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Chapter I article 11:   Victims of Crime. The right of the people to be secure in their persons  houses  and belongings against crime shall be recognised at sentencing. Restitution to the crime victim shall be a condition of probation and parole except upon a showing of compelling interest. ,"State organisation | Legal system | Fundamental rights",0,0,0,0,yes,
1424,Country,Northern Mariana Islands,mp331985,1985-11-03,Northern Marianas Public Land Trust,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XI section 6(a):  The trust shall have three trustees appointed by the governor with the advice and consent of the senate. After this Constitution has been in effect for ten years  the number of trustees appointed by the governor with the advice and consent of the senate shall be increased to five. Three shall be from Saipan  one from Rota  and one from Tinian. At least one trustee shall be a woman and at least one trustee shall be of Carolinian descent. The trustees shall serve for a term of six years except that the term of office shall be staggered  accomplished as follows: three trustees shall serve for four years and two trustees shall serve for Six years as determined by drawing of lots. (f) The trustees shall be held to strict standards of fiduciary care. Each trustee shall annually submit to the governor and the presiding officers of the legislature a report disclosing their financial affairs  as provided by law. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1425,Country,Northern Mariana Islands,mp341985,1985-11-03,Land acquisition only for people of Northern Marianas descent,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article Xii section 2:  Acquisition. The term acquisition used in section 1 includes acquisition by sale  lease  gift  inheritance or other means. A transfer to a spouse by inheritance is not an acquisition under this section if the owner dies without issue or with issue not eligible to own land in the Northern Mariana Islands. A transfer to a mortgagee by means of a foreclosure on a mortgage is not an acquisition under this section if the mortgagee is a full service bank  Federal Agency or Governmental entity of the Commonwealth and does not hold the permanent or long-term interest in real property for more than ten years beyond the term of the mortgage. ,"Environment and living space | Soil | Land law",0,0,0,0,yes,
1426,Country,Northern Mariana Islands,mp351985,1985-11-03,Permanent and long-term interests in real property,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XII section 3:  Permanent and Long-Term Interests in Real Property. The term permanent and long-term interests in real property used in section 1 includes freehold interests and leasehold interests of more than 55 years including renewal rights  except an interest acquired above the first floor of a condominium building. Any interests acquired above the first floor of a condominium building is restricted to private lands. Any land transaction in violation of this provision shall be void. This amendment does not apply to existing leasehold agreements. ,"Environment and living space | Soil | Land law",0,0,0,0,yes,
1427,Country,Northern Mariana Islands,mp361985,1985-11-03,Land acquisition only for North Marianas Corporation,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article XII:  Section 5. Corporation. A corporation shall be considered to be a person of Northern Marianas descent so long as it is incorporated in the Commonwealth  has its principal place of business in the Commonwealth  has directors 100% of whom are persons of Northern Marianas descent and has voting shares (common or preferred) 100% of which are actually owned by persons of Northern Marianas descent as defined in section 4. Minors  as defined by applicable laws of the Commonwealth  may not be eligible to become directors of a corporation. No trusts or voting by proxy by persons not of Northern Marianas descent may be permitted. Beneficial title shall not be severed from legal title. Section 6. Enforcement. Any transaction made in violation of section 1 shall be void ab initio. Whenever a corporation ceases to be qualified under section 5  a permanent or long-term interest in land in the Commonwealth acquired by the Corporation after the effective date of this amendment shall be immediately forfeited without right of redemption to the government of the Commonwealth of the Northern Mariana Islands. The Registrar of Corporation shall issue regulations to ensure compliance and the legislature may enact enforcement laws and procedures. ,"Environment and living space | Soil | Land law",0,0,0,0,yes,
1428,Country,Northern Mariana Islands,mp231985,1985-11-03,Organisation of the judiciary,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article IV sections 2  3 and 4:  Section 2. Commonwealth Trial Court. The Commonwealth trial court shall have original jurisdiction in all cases in equity and in all cases at law which involve land in the Commonwealth  and in all other civil actions. The court shall also have original jurisdiction in all criminal actions. At least one full-time judge shall be assigned to civil and criminal actions filed in Rota and Tinian. The legislature shall determine the number of judges. Section 3. Commonwealth Appeals Court. The legislature may establish a Commonwealth appeals court to hear those appeals from judgments and orders of the Commonwealth trial court. Section 4. Appointment and Qualifications. The governor shall appoint judges of the Commonwealth courts with the advice and consent of the senate. The term of office shall be six years and may be increased by law to not more than twelve years for judges who have served at least one term. A judge shall be at least 35 years of age  a citizen or national of the United States and possess other qualifications provided by law. ,"State organisation | Institutions | Courts",0,0,0,0,yes,
1429,Country,Northern Mariana Islands,mp251985,1985-11-03,Local government,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,A new article IV was created on the rights  duties and organisation of local government.,"State organisation | Federalism | Division of tasks",0,0,0,0,yes,
1430,Country,Northern Mariana Islands,mp261985,1985-11-03,Regular general election day,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article VIII section 1:  Regular General Election. The regular general election of the Commonwealth shall be held on the first Saturday in November. ,"State organisation | Political system | Electoral system",0,0,0,0,yes,
1431,Country,Northern Mariana Islands,mp271985,1985-11-03,Resignation from public office,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article VIII section 5:  Resignation from Public Office. An elected public official shall resign from office upon certification to be a candidate for another public office  if the term of the office sought begins before the end of the term of the office held. ,"State organisation | Institutions | none",0,0,0,0,yes,
1432,Country,Northern Mariana Islands,mp281985,1985-11-03,Tax levy only for public purpose,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article X section 1:  Public Purpose. A tax may not be levied and an appropriation of public money may not be made  directly or indirectly  except for a public purpose. The legislature shall provide the definition of public purpose. ,"Public finance | Taxation | Tax policy",0,0,0,0,yes,
1433,Country,Northern Mariana Islands,mp201985,1985-11-03,Boards and commissions,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 21:  Boards and Commissions. In every case where the governor appoints a board or commission to perform a regulatory or administrative function or direct the activities of an agency  authority  or public or quasi-public corporation in the performance of a regulatory or administrative function  the members of such a board or commission shall be independent and may be removed only on grounds of gross neglect or dereliction of duty  breach of fiduciary duty  conviction of a felony  or mental or physical incapacity. Upon the expiration of the term of a member of a board or commission  such person shall cease to be a member unless reappointed in the manner prescribed by law. The governor shall make appointments within 90 days to fill any vacant seats on a board or commission. This section does not apply to boards and commissions that serve a purely advisory function or  except to the extent specifically required by federal law  to boards and commissions created in order to comply with federal law. ,"State organisation | Institutions | none",0,0,0,0,yes,
1434,Country,Northern Mariana Islands,mp211985,1985-11-03,Special assistant for Women's Affairs,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Mandatory constitutional referendum (double majority),,,,Article III section 22:  Special Assistant for Women's Affairs. (a) There is hereby established an Office of Special Assistant to the Governor for Women's Affairs. The governor shall appoint a person  who is qualified by virtue of education and experience  to be the special assistant. The special assistant may be removed only for cause. (b) It is the responsibility and duty of the special assistant to formulate and implement a policy of affirmative action in the government and private sector to assist women achieve social  political and economic parity. The special assistant shall promote the interests of women  assist agencies of government and private organisations to plan and implement programmes and services for women  monitor compliance of laws and regulations by government agencies and private organisations  organise community education strategies regarding the roles of women  and recommend to the governor and the legislature for consideration legislation of benefit to women. (c) The special assistant may be authorised to hire staff and shall promulgate rules and regulations in carrying out the responsibilities and duties of the office. (d) The Governor shall include in the budget of the executive branch the funding necessary to fully implement the provisions of this section. ,"State organisation | Institutions | Government, administration",0,0,0,0,yes,
1435,Country,Tanzania  United Republic of,tz011985,1985-10-27,Ali Hassan Mwini for President,,,,,,,,,,,6910555,,5181999,,,4778114,215626,,,none,,,,,,Mandatory Presidential Referendum,,,,The constitution of 1977 provided that the President be elected by parliament  whose decision is to be submitted to popular vote. Parliamentary elections were held contemporaneously.,"State organisation | Institutions | Government, administration",74.99,4993740,95.68,4.32,yes,
1436,Country,Switzerland,334,1985-09-22,Counter proposal to the citizen's initiative "Standardised beginning of school year in all cantons",Bundesbeschluss vom 05.10.1984 über die Volksinitiative 'für die Koordination des Schuljahresbeginns in allen Kantonen' (Gegenentwurf),Arrêté fédéral du 05.10.1984 concernant l'initiative populaire 'demandant l'harmonisation du début de l'année scolaire dans tous les cantons' (contre-projet),Decreto federale del 05.10.1984 sull'iniziativa popolare 'per il coordinamento dell'inizio dell'anno scolastico in tutti i Cantoni' (controprogetto),131,20,,27,12,,None,4160697,9710,1705700,30555,2223,984463,688459,16,7,none,,,0,,0,Constitutional Referendum (Counter-draft),104750,,Initiativkomitee für die Koordination des SchuljahrbeginnsComité d'initiative 'pour l'harmonisation du début de l'année scolaire dans tous les cantons',Die Initiative wurde zurückgezogen. The initiative was withdrawn.,"Schools | Intergovernmental relations | none",41,1672922,58.85,41.15,yes,
